16.4,73614,24051,0
9.0,74045,17564,1
7.2,63820,14026,0
7.2,69841,12870,0
7.5,106959,23882,0
7.9,66927,16472,0
9.6,60855,15101,0
6.8,71746,14151,0
5.5,76012,13215,0
8.0,69528,15032,0
7.6,72389,13973,0
6.5,108521,22134,1
9.0,84233,19655,1
7.3,82147,13362,0
7.0,68623,13830,0
9.5,90486,27469,1
6.5,64646,13332,0
7.3,86439,20693,1
7.1,72718,14706,1
7.6,70207,14233,0
10.1,77095,17917,1
6.7,82737,13948,0
8.4,88730,20626,1
7.1,73603,15105,1
10.4,69078,19110,1
6.6,84400,14839,0
7.1,69669,12154,1
7.8,80612,15224,0
6.6,86843,13852,1
8.6,83843,13852,1
6.7,68671,14843,0
8.9,88028,22621,0
7.3,92112,14100,1
6.6,91507,18058,1
7.7,73041,15187,1
7.3,83132,16528,1
8.1,70340,14431,1
7.2,96011,16137,1
8.0,73596,15244,0
9.3,75758,18195,1
7.9,74584,16261,0
8.1,85829,17545,1
7.4,71972,13897,0
7.6,68606,14222,0
8.4,91298,16036,1
9.9,60428,16670,1
6.7,72787,15848,0
7.4,78535,15407,1
7.2,67978,13738,0
6.7,80521,14644,1
7.7,73616,13951,1
7.8,87142,18534,1
9.3,60928,17014,1
9.8,75891,18634,0
6.8,90989,14759,1
6.7,71667,13074,1
8.5,70262,18529,0
10.2,77631,20961,0
6.3,88470,13884,1
11.5,69346,26471,0
6.8,98442,19163,1
10.2,66245,23159,1
6.2,97199,17680,1
8.4,63840,13595,0
7.2,73832,14982,0
7.6,77418,15691,0
6.6,80122,13407,0
7.8,90310,15166,1
8.8,91598,20145,1
8.3,70795,17256,0
7.7,87731,19313,0
6.5,83423,14596,0
8.0,69371,15358,0
6.7,67260,12575,0
8.0,76495,15968,1
9.3,65855,16647,0
7.3,86663,14861,1
8.4,86833,19095,1
9.1,73229,15267,1
8.1,72148,17626,1
8.5,55093,13374,1
7.9,75444,17107,0
8.9,78790,23064,0
6.9,87875,15800,1
8.8,83871,21494,0
9.2,93147,16631,1
9.1,79740,19210,1
7.4,76735,15202,1
9.6,63373,16775,0
8.6,78636,17674,1
8.3,76644,15684,1
9.0,97697,21200,1
5.6,81630,12489,0
8.4,94068,18279,1
9.0,99594,24478,0
7.1,78281,13865,1
8.3,64255,18677,0
7.6,73252,15673,0
8.3,64765,16722,0
8.8,65216,15943,0
10.8,70267,26891,1
7.8,69042,14521,1
12.6,74577,29746,1
5.9,83062,14635,1
6.7,67437,13443,0
6.9,71776,13076,0
7.5,87692,17267,1
9.7,72075,16745,1
7.2,85512,15376,1
8.2,102023,23611,1
8.0,68706,16916,0
7.4,60948,15395,0
8.0,65865,15236,0
8.5,92907,18321,1
7.1,64862,13554,0
8.3,63447,16564,0
7.6,59841,14144,0
7.1,83790,14185,1
6.7,71117,22077,0
6.8,80596,14461,1
6.7,66082,13499,0
9.2,83864,16738,1
8.6,74208,15287,0
7.5,68083,19140,0
7.1,74987,17835,0
8.1,80058,16153,0
7.5,66882,19579,0
6.7,76369,15766,0
9.8,84244,19333,1
7.4,73190,14894,0
6.4,76988,13530,1
8.5,62011,16472,1
7.3,72385,13829,1
6.7,96737,21837,0
7.8,98203,18976,1
6.5,73162,12676,0
6.1,95173,15185,1
10.7,89610,18274,1
9.1,72476,15427,1
9.7,89474,20191,0
8.4,82049,15643,1
5.2,82587,13692,0
9.3,66663,16054,0
9.3,80045,19059,1
9.2,72980,16805,0
7.0,67304,13658,0
7.8,69743,16414,0
7.9,80486,16765,0
8.7,79409,17822,1
7.1,70655,14158,1
9.8,58382,15359,0
7.8,79406,16647,0
8.5,74688,16105,0
7.6,86819,14077,1
7.9,66037,15309,0
8.2,81210,17454,0
8.2,75440,16466,1
5.3,89430,13335,1
6.0,89651,13103,1
7.2,77498,16816,0
6.1,80715,12976,1
6.8,89901,13624,0
8.2,85484,18287,1
9.5,89287,24273,0
7.1,94399,17920,1
7.4,103011,23988,1
6.4,62719,10416,1
9.5,63843,16696,0
7.2,90181,16654,1
7.1,87622,15240,1
8.8,95487,23972,1
6.6,73935,16098,0
6.9,88401,14176,0
9.2,91626,23276,1
8.4,74824,16125,0
8.5,96514,16820,1
7.0,77110,14806,0
7.0,78729,14742,0
10.0,68573,20109,1
10.8,56350,18750,0
11.2,83754,25772,0
6.1,96430,13213,0
8.5,77196,17533,1
6.2,74416,13871,0
8.2,64647,15871,0
9.1,79784,18130,1
7.9,67685,16719,0
8.2,94851,20054,1
6.8,77186,16100,1
6.8,66897,15369,0
7.4,61699,11630,1
7.4,64784,14295,0
6.2,69846,13191,0
5.2,90873,13955,0
6.7,107796,16747,1
12.9,61243,21056,1
7.6,70758,14546,0
9.7,63819,15658,0
8.6,76054,17587,0
7.1,88305,13933,1
8.9,68825,17109,0
12.2,72431,20755,0
7.1,70268,15825,0
6.7,84140,14591,1
6.8,70145,13413,1
6.5,75642,14539,0
8.1,71093,17074,0
8.2,79344,14558,1
10.0,92611,19544,1
6.7,85560,14532,0
6.9,66705,15895,0
7.8,72523,17200,1
6.7,78818,13670,1
11.6,82750,24753,1
10.0,85271,18894,0
7.1,79871,14271,1
10.0,79751,15713,1
6.6,77476,14309,0
7.7,70292,16202,0
8.6,92398,24338,1
7.1,74021,13839,0
5.8,82188,12237,0
9.5,54368,16162,0
7.5,81175,15584,1
6.6,78794,13378,1
7.6,91607,15295,1
7.5,76829,14107,0
7.1,76520,13263,1
7.3,75117,14660,1
7.1,75495,12959,1
6.6,69940,13168,1
7.0,74316,14607,0
7.9,80362,15519,0
6.6,73744,12826,0
6.6,75931,14216,1
8.5,54578,13830,1
7.7,72190,14556,0
12.8,80722,30751,1
7.6,82082,18200,1
12.2,63281,26099,1
9.3,87463,20922,0
6.9,48928,11992,0
7.0,86544,14778,1
7.0,75210,14149,1
8.2,84097,16176,1
6.9,96615,22127,1
7.0,78636,13839,1
6.5,73216,13289,0
6.7,94040,16187,0
7.4,90158,16177,1
9.6,78088,20866,0
8.7,75346,18988,0
7.2,84596,15070,1
7.2,87451,14516,0
7.1,67762,14696,0
10.9,63870,16972,1
5.9,67939,13766,0
7.0,72994,14150,1
12.2,90799,27623,1
7.4,73541,12459,1
7.6,94535,18533,1
7.8,80375,16549,1
6.9,71247,13410,1
8.3,92779,21178,1
6.7,81933,15756,1
9.8,93368,29110,1
9.0,73781,17128,1
8.6,68559,15021,0
7.1,62915,12481,0
7.4,91254,26125,1
8.1,84868,17674,1
7.3,87779,16532,1
8.6,68744,14625,1
11.2,77440,21178,0
9.4,53852,16803,0
7.9,66245,16053,0
6.1,68893,11253,0
9.3,69314,18525,1
7.6,84406,17316,1
